,node1,node2,beta
0,LH_VisCent_ExStr_1,LH_DefaultC_Rsp_1,0.1271747908416441
1,LH_VisCent_ExStr_1,RH_VisCent_ExStr_1,-0.08927290559367217
2,LH_VisCent_ExStr_1,RH_VisCent_ExStr_3,-0.09589699889009948
3,LH_VisCent_ExStr_2,LH_DefaultB_Temp_1,-0.1105285963081184
4,LH_VisCent_ExStr_2,LH_DefaultB_IPL_1,-0.0667419212649375
5,LH_VisCent_ExStr_2,LH_DefaultB_PFCd_1,-0.1741906642504858
6,LH_VisCent_ExStr_2,LH_DefaultB_PFCl_1,-0.16392380122153657
7,LH_VisCent_ExStr_2,LH_DefaultB_PFCv_2,-0.06726737019109418
8,LH_VisCent_ExStr_2,RH_VisCent_ExStr_2,0.06602298422950677
9,LH_VisCent_ExStr_2,RH_SalVentAttnB_PFCl_1,0.6983901294346861
10,LH_VisCent_ExStr_3,LH_DefaultB_PFCd_1,0.10128915147607566
11,LH_VisCent_ExStr_3,LH_DefaultC_Rsp_1,-0.14142037078669492
12,LH_VisPeri_ExStrInf_1,LH_DefaultA_PFCm_1,0.06822649406533489
13,LH_VisPeri_ExStrInf_1,LH_DefaultC_Rsp_1,-0.09233835932398779
14,LH_VisPeri_ExStrInf_1,LH_DefaultC_PHC_1,0.09393476137860668
15,LH_VisPeri_ExStrInf_1,RH_VisCent_ExStr_3,-0.07095040553107893
16,LH_VisPeri_StriCal_1,RH_DefaultC_Rsp_1,0.08312045366785892
17,LH_VisPeri_ExStrSup_1,LH_DefaultC_Rsp_1,-0.20928474361789637
18,LH_VisPeri_ExStrSup_1,RH_DorsAttnA_SPL_1,-0.1606228791281643
19,LH_SomMotA_1,LH_DorsAttnA_SPL_1,0.12031562372820961
20,LH_SomMotA_1,RH_DorsAttnA_SPL_1,0.06789962457789567
21,LH_SomMotA_1,RH_SalVentAttnA_ParOper_1,-0.12556790168837434
22,LH_SomMotA_2,LH_DefaultC_Rsp_1,-0.07263930026705595
23,LH_SomMotB_Cent_1,RH_DorsAttnA_ParOcc_1,0.08695869877536558
24,LH_SomMotB_Cent_1,RH_DefaultC_PHC_1,0.07754061536309638
25,LH_SomMotB_Cent_1,RH_TempPar_3,0.11330827956126553
26,LH_DorsAttnA_TempOcc_1,RH_SomMotB_Cent_1,-0.12123440843462197
27,LH_DorsAttnA_ParOcc_1,LH_DefaultB_Temp_1,0.10210517304564504
28,LH_DorsAttnA_ParOcc_1,LH_TempPar_1,0.08365601949540381
29,LH_DorsAttnA_SPL_1,LH_DefaultC_Rsp_1,-0.10419768923434697
30,LH_DorsAttnA_SPL_1,RH_DefaultA_pCunPCC_1,0.07168111810145443
31,LH_DorsAttnB_PostC_2,RH_SomMotB_Aud_1,-0.06911729124591721
32,LH_DorsAttnB_PostC_2,RH_SalVentAttnA_ParOper_1,-0.12137046382372053
33,LH_DorsAttnB_PostC_3,LH_DefaultA_PFCm_1,-0.08820447024001256
34,LH_DorsAttnB_PostC_3,RH_DefaultA_pCunPCC_1,-0.07416943093192037
35,LH_DorsAttnB_FEF_1,LH_DefaultC_Rsp_1,-0.09274116399925106
36,LH_SalVentAttnA_Ins_1,LH_DefaultA_pCunPCC_1,0.10651620076797355
37,LH_SalVentAttnA_Ins_1,LH_DefaultC_Rsp_1,0.06283339599304441
38,LH_SalVentAttnA_Ins_1,RH_SomMotA_2,0.08346870647588082
39,LH_SalVentAttnA_FrMed_1,LH_DefaultA_PFCm_1,-0.11115973169712753
40,LH_LimbicA_TempPole_1,RH_ContA_PFCl_1,-0.08632475113355785
41,LH_LimbicA_TempPole_2,LH_DefaultB_IPL_1,0.5111304823608358
42,LH_LimbicA_TempPole_2,LH_DefaultB_PFCd_1,0.40157928287305095
43,LH_LimbicA_TempPole_2,LH_DefaultB_PFCl_1,0.3575062117967907
44,LH_ContA_PFCl_1,RH_ContA_PFCl_1,-0.1305450764597345
45,LH_ContA_PFCl_2,RH_SalVentAttnA_ParOper_1,-0.3711651092473885
46,LH_ContA_PFCl_2,RH_SalVentAttnA_Ins_1,-0.11205579598557024
47,LH_ContB_PFClv_1,LH_DefaultA_PFCd_1,0.5240328851873635
48,LH_ContC_pCun_2,LH_DefaultA_PFCm_1,-0.11153332886390299
49,LH_ContC_pCun_2,RH_DefaultA_pCunPCC_1,-0.1360529795656062
50,LH_DefaultA_PFCd_1,RH_SalVentAttnB_PFCl_1,-0.11831835119427762
51,LH_DefaultA_PFCd_1,RH_ContA_PFCl_1,-0.1835721393927688
52,LH_DefaultA_PFCd_1,RH_ContA_PFCl_2,-0.06575715156185324
53,LH_DefaultA_pCunPCC_1,RH_VisPeri_ExStrSup_1,-0.10347850666528284
54,LH_DefaultA_pCunPCC_1,RH_DorsAttnA_ParOcc_1,-0.08901330856416051
55,LH_DefaultA_pCunPCC_1,RH_SalVentAttnA_ParOper_1,0.1807053929816774
56,LH_DefaultA_pCunPCC_1,RH_SalVentAttnA_ParMed_1,0.14912286720093687
57,LH_DefaultA_pCunPCC_1,RH_LimbicB_OFC_1,-0.10529459276052322
58,LH_DefaultA_pCunPCC_1,RH_ContA_PFCl_1,0.1068481960868371
59,LH_DefaultA_pCunPCC_1,RH_ContA_PFCl_2,0.21594034412732627
60,LH_DefaultA_PFCm_1,LH_TempPar_1,-0.0885403679528348
61,LH_DefaultA_PFCm_1,RH_DorsAttnA_SPL_1,0.12279339953076873
62,LH_DefaultA_PFCm_1,RH_DorsAttnB_PostC_2,-0.10220210621288145
63,LH_DefaultA_PFCm_1,RH_DorsAttnB_FEF_1,-0.1123814440033297
64,LH_DefaultA_PFCm_1,RH_SalVentAttnA_ParMed_1,0.11285247200563714
65,LH_DefaultA_PFCm_1,RH_SalVentAttnA_FrMed_1,0.1405266654478705
66,LH_DefaultA_PFCm_1,RH_LimbicB_OFC_1,-0.08366407223100061
67,LH_DefaultA_PFCm_1,RH_ContA_IPS_1,-0.07201352197432445
68,LH_DefaultA_PFCm_1,RH_ContA_PFCl_1,-0.08061040232028094
69,LH_DefaultA_PFCm_1,RH_ContA_PFCl_2,-0.06947318275190478
70,LH_DefaultB_Temp_1,RH_DorsAttnA_ParOcc_1,-0.21144017863185113
71,LH_DefaultB_Temp_1,RH_SalVentAttnA_ParOper_1,0.12074611239076681
72,LH_DefaultB_Temp_2,RH_ContA_PFCl_2,0.14866288976222394
73,LH_DefaultB_Temp_2,RH_TempPar_2,-0.11045743389633668
74,LH_DefaultB_Temp_2,RH_TempPar_3,0.12136243420234102
75,LH_DefaultB_IPL_1,RH_SalVentAttnB_IPL_1,-0.1975362131433151
76,LH_DefaultB_IPL_1,RH_SalVentAttnB_PFCl_1,-0.1099631750694927
77,LH_DefaultB_PFCd_1,RH_VisCent_ExStr_2,-0.09238620078224208
78,LH_DefaultB_PFCd_1,RH_SalVentAttnA_ParOper_1,-0.07721759008680162
79,LH_DefaultB_PFCd_1,RH_SalVentAttnA_Ins_1,-0.06814362543964965
80,LH_DefaultB_PFCd_1,RH_SalVentAttnA_FrMed_1,0.15623539838804523
81,LH_DefaultB_PFCd_1,RH_SalVentAttnB_PFCl_1,-0.0864331186254988
82,LH_DefaultB_PFCd_1,RH_LimbicB_OFC_1,-0.30292549822112597
83,LH_DefaultB_PFCd_1,RH_ContA_PFCl_1,-0.13934382522235664
84,LH_DefaultB_PFCd_1,RH_ContA_PFCl_2,-0.13883774042193128
85,LH_DefaultB_PFCl_1,RH_VisCent_ExStr_2,-0.10286216256435568
86,LH_DefaultB_PFCl_1,RH_SalVentAttnA_ParOper_1,0.08951958150843846
87,LH_DefaultB_PFCl_1,RH_SalVentAttnB_PFCl_1,-0.11760919214132749
88,LH_DefaultB_PFCv_1,RH_ContA_PFCl_2,0.10154314126341034
89,LH_DefaultB_PFCv_2,RH_SalVentAttnA_Ins_1,0.06406689621005107
90,LH_DefaultB_PFCv_2,RH_ContA_PFCl_1,-0.15114884517962934
91,LH_DefaultC_Rsp_1,RH_VisCent_ExStr_3,-0.1774016722780188
92,LH_DefaultC_Rsp_1,RH_VisPeri_ExStrInf_1,-0.11359382124493778
93,LH_DefaultC_Rsp_1,RH_VisPeri_ExStrSup_1,-0.15357280212846872
94,LH_DefaultC_Rsp_1,RH_SomMotA_1,0.06485042421520917
95,LH_DefaultC_Rsp_1,RH_SomMotA_2,0.07401722091823469
96,LH_DefaultC_Rsp_1,RH_SomMotB_S2_1,0.11988464801128829
97,LH_DefaultC_Rsp_1,RH_SomMotB_Cent_1,-0.09023328353823129
98,LH_DefaultC_Rsp_1,RH_DorsAttnA_ParOcc_1,-0.1558046072630737
99,LH_DefaultC_Rsp_1,RH_DorsAttnA_SPL_1,-0.12287295710022449
100,LH_DefaultC_PHC_1,RH_SomMotB_Cent_1,-0.1364310121611506
101,LH_TempPar_1,RH_DorsAttnA_TempOcc_1,-0.06864367638187374
102,LH_TempPar_1,RH_DorsAttnA_ParOcc_1,-0.06672814322306396
103,LH_TempPar_1,RH_TempPar_3,-0.07799525347756851
104,RH_VisCent_ExStr_2,RH_SalVentAttnB_PFCl_1,0.5258026227769482
105,RH_VisPeri_ExStrInf_1,RH_DefaultC_Rsp_1,0.08775956434874274
106,RH_VisPeri_ExStrSup_1,RH_DefaultA_pCunPCC_1,-0.1811258133666977
107,RH_VisPeri_ExStrSup_1,RH_DefaultA_PFCm_1,0.06955832227699668
108,RH_VisPeri_ExStrSup_1,RH_DefaultC_Rsp_1,0.07632987923602418
109,RH_SomMotA_2,RH_SomMotB_Aud_1,0.06514931909784921
110,RH_SomMotA_2,RH_DorsAttnA_ParOcc_1,-0.11060712678923779
111,RH_SomMotA_2,RH_DorsAttnB_PostC_2,0.28670717298299303
112,RH_SomMotA_2,RH_SalVentAttnA_ParOper_1,-0.291361478979112
113,RH_SomMotA_2,RH_ContA_IPS_1,-0.1004795067853585
114,RH_SomMotA_4,RH_DefaultC_Rsp_1,0.08302297963039046
115,RH_SomMotB_Cent_1,RH_DorsAttnA_TempOcc_1,-0.10242263382594011
116,RH_SomMotB_Cent_1,RH_DefaultC_Rsp_1,-0.07529406455194207
117,RH_DorsAttnA_TempOcc_1,RH_TempPar_1,-0.10509966443101973
118,RH_DorsAttnA_ParOcc_1,RH_TempPar_1,-0.10420468425864951
119,RH_DorsAttnA_SPL_1,RH_DefaultA_pCunPCC_1,0.1543218823827168
120,RH_DorsAttnB_FEF_1,RH_DefaultA_pCunPCC_1,0.1609975169600081
121,RH_SalVentAttnB_IPL_1,RH_ContA_PFCl_1,0.3215130621603177
122,RH_ContA_PFCl_2,RH_DefaultA_PFCm_1,0.1617928848047598
