,MNI_X,MNI_Y,MNI_Z
0,120,18,131
1,120,18,132
2,120,18,133
3,120,18,135
4,120,18,136
5,120,18,137
6,120,18,138
7,120,18,139
8,120,18,140
9,70,130,179
10,70,130,181
11,70,130,182
12,70,130,183
13,70,130,184
14,70,130,185
15,0,118,13
16,0,118,15
17,0,118,16
18,0,118,17
19,0,118,18
20,0,118,19
21,0,118,20
22,0,118,21
23,196,58,251
24,196,59,251
25,196,59,252
26,196,59,253
27,197,58,251
28,197,58,252
29,197,58,253
30,220,248,165
31,220,248,166
32,220,248,167
33,230,148,35
34,230,149,36
35,231,149,35
36,231,149,36
37,205,62,80
38,205,62,81
39,205,62,82
40,205,62,83
41,205,63,76
42,205,63,77
43,205,63,79
44,205,63,80
45,205,63,81
46,205,63,82
47,205,63,83
48,205,63,84
49,205,63,85
50,124,18,133
51,124,18,134
52,124,18,136
53,124,18,137
54,124,18,138
55,124,18,139
56,124,18,140
57,124,18,141
58,74,130,179
59,74,130,180
60,74,130,182
61,74,130,183
62,74,130,184
63,74,130,185
64,74,130,186
65,74,130,187
66,4,119,14
67,4,119,16
68,4,119,17
69,4,119,18
70,4,119,19
71,5,118,15
72,5,118,16
73,201,58,252
74,201,58,253
75,201,59,252
76,200,57,250
77,200,57,251
78,224,249,165
79,224,249,166
80,234,147,35
81,234,147,36
82,233,148,34
83,233,148,35
84,233,148,36
85,233,148,37
86,234,148,37
87,234,148,38
88,234,148,39
89,209,62,78
90,209,61,79
91,209,61,80
92,209,61,81
93,209,61,78
94,209,61,82
95,208,62,79
96,208,62,80
97,208,62,81
98,208,62,78
99,208,62,82
